Input Size  Execution Time
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.002000
        10        0.001000
        10        0.001000
        10        0.002000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.002000
        10        0.002000
        10        0.002000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.002000
        10        0.001000
        10        0.001000
        10        0.002000
        10        0.002000
        10        0.001000
        10        0.002000
        10        0.001000
        10        0.001000
        10        0.002000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.002000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.002000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.002000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.002000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.002000
        10        0.001000
        10        0.002000
        10        0.002000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.002000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.001000
        10        0.002000
        10        0.001000
        10        0.001000
        10        0.001000
       100        0.014000
       100        0.015000
       100        0.014000
       100        0.016000
       100        0.014000
       100        0.014000
       100        0.015000
       100        0.014000
       100        0.014000
       100        0.015000
       100        0.015000
       100        0.014000
       100        0.014000
       100        0.014000
       100        0.014000
       100        0.015000
       100        0.015000
       100        0.016000
       100        0.015000
       100        0.014000
       100        0.015000
       100        0.015000
       100        0.015000
       100        0.015000
       100        0.015000
       100        0.014000
       100        0.014000
       100        0.016000
       100        0.015000
       100        0.015000
       100        0.015000
       100        0.015000
       100        0.015000
       100        0.016000
       100        0.016000
       100        0.015000
       100        0.015000
       100        0.015000
       100        0.015000
       100        0.015000
       100        0.015000
       100        0.016000
       100        0.015000
       100        0.015000
       100        0.015000
       100        0.015000
       100        0.015000
       100        0.015000
       100        0.015000
       100        0.015000
       100        0.021000
       100        0.015000
       100        0.015000
       100        0.015000
       100        0.013000
       100        0.014000
       100        0.014000
       100        0.014000
       100        0.014000
       100        0.014000
       100        0.013000
       100        0.013000
       100        0.014000
       100        0.015000
       100        0.013000
       100        0.013000
       100        0.014000
       100        0.014000
       100        0.014000
       100        0.014000
       100        0.014000
       100        0.015000
       100        0.015000
       100        0.014000
       100        0.035000
       100        0.014000
       100        0.014000
       100        0.014000
       100        0.014000
       100        0.014000
       100        0.014000
       100        0.014000
       100        0.015000
       100        0.014000
       100        0.014000
       100        0.015000
       100        0.014000
       100        0.014000
       100        0.015000
       100        0.015000
       100        0.014000
       100        0.014000
